Orden,Nombre,Frecuencia,Edad Media
730,LUIS JESUS,1996,44.7
731,ABILIO,1994,64.7
732,BALBINO,1992,63.8
733,CARLOS MARIA,1989,48.5
734,IGNACIO JOSE,1973,39.4
735,RAFAEL JOSE,1966,42.8
736,RICARDO JOSE,1966,40.5
737,ANTONIO CARLOS,1963,43.6
738,AMANCIO,1962,61.3
739,PETRU,1961,43.4
740,DONATO,1953,65.0
741,MOUNIR,1952,28.5
742,MUSTAFA,1952,38.0
743,ANTONIO JUAN,1951,47.2
744,ZACARIAS,1950,55.4
745,VICTOR JAVIER,1947,35.5
746,FRANCESCO,1946,38.7
747,ANGEL MIGUEL,1930,46.4
748,MARIN,1918,46.8
749,CRESCENCIO,1908,69.1
750,DIEGO FERNANDO,1908,32.1
751,JOSE ROBERTO,1900,44.9
752,VICTORIO,1883,64.6
753,ANGEL DAVID,1882,27.0
754,ABDELKRIM,1879,41.2
755,TELMO,1873,18.3
756,CARLOS FRANCISCO,1872,41.0
757,JORGE ENRIQUE,1867,42.2
758,REMIGIO,1866,63.1
759,CARLOS DANIEL,1863,25.9
760,ALFONSO JOSE,1861,40.0
761,ROI,1860,14.0
762,ABDERRAHMANE,1859,38.1
763,BUENAVENTURA,1858,61.6
764,PABLO JESUS,1857,32.4
765,FRANCISCO VICENTE,1854,49.0
766,OUSSAMA,1841,15.2
767,IMAD,1839,19.0
768,DIMAS,1838,46.8
769,GIUSEPPE,1832,47.7
770,AURELIANO,1827,65.2
771,MARK,1826,21.5
772,IULIAN,1825,36.3
773,OIHAN,1820,7.6
774,FERNANDO JESUS,1816,39.3
775,ANDREA,1814,34.5
776,ILYAS,1814,9.0
777,JUAN DOMINGO,1809,49.6
778,PABLO MANUEL,1809,32.5
779,ABDELGHANI,1806,35.3
780,PERFECTO,1794,65.5
781,ANTONIO VICENTE,1791,49.0
782,ABDELMAJID,1785,39.4
783,JESUS JOSE,1783,51.9
784,ABDELALI,1780,33.7
785,ABDELHAK,1777,37.0
786,ILIAS,1777,10.4
787,JESUS RAMON,1777,48.2
788,ABDOULAYE,1776,35.1
789,DIEGO MANUEL,1775,34.5
790,GIL,1768,47.9
791,MANUEL VICENTE,1766,49.2
792,VASYL,1763,43.2
793,ALVARO JOSE,1762,28.3
794,ROMUALDO,1762,59.5
795,ANTONINO,1761,63.5
796,CARLOS DAVID,1758,29.0
797,ENRIQUE MANUEL,1758,43.4
798,DANIEL JESUS,1756,27.3
799,JAOUAD,1746,30.8
800,ALEJANDRO MANUEL,1744,27.2
801,PATRICK,1741,32.3
802,AIRAM,1730,17.1
803,LUIS ALFREDO,1728,40.4
804,TIMOTEO,1725,65.8
805,LUIS DAVID,1721,24.7
806,ANDRIY,1719,34.2
807,AMINE,1718,17.2
808,SORIN,1718,37.4
809,JOSE SANTIAGO,1716,49.4
